Идентификатор проблемы,Описание,Состояние,Серьезность,Баллы истории,Путь к проекту,Вид расположения,Путь,Линейная,Столбец,Идентификатор инцидента,Ссылка на справку,Имя сборки,Версия сборки,Открытый ключ сборки,Фрагмент
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,128,12,T:System.Windows.Controls.Grid,,,,,this.GraphGrid = ((System.Windows.Controls.Grid)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,112,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,112,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,109,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/ArrayFactor;V1.0.0.0;component/service/controls/smithchart.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,109,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/ArrayFactor;V1.0.0.0;component/service/controls/smithchart.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,92,54,T:System.Windows.Controls.ItemsControl,,,,,ImagenGridLines
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,84,54,T:System.Windows.Controls.ItemsControl,,,,,RealGridLines
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,76,47,T:System.Windows.Shapes.Ellipse,,,,,Border
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,68,44,T:System.Windows.Shapes.Line,,,,,VerticalAxeLine
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,60,44,T:System.Windows.Shapes.Line,,,,,HorizontalAxeLine
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,52,46,T:System.Windows.Controls.Grid,,,,,GraphGrid
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Controls\SmithChart.xaml.cs,9,4,M:System.Windows.Controls.UserControl.#ctor,,,,,public SmithChart()      {          InitializeComponent();      }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Controls\SmithChart.xaml.cs,9,4,M:System.Windows.Controls.UserControl.#ctor,,,,,public SmithChart()      {          InitializeComponent();      }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\obj\Debug\net9.0-windows\win-x64\Service\Controls\SmithChart.g.i.cs,47,97,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Controls\SmithChart.xaml.cs,7,34,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,54,4,T:System.Windows.Point,,,,,private Point PointAt(double angle)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,54,144,P:System.Windows.Shapes.Shape.StrokeThickness,,,,,StrokeThickness
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,54,124,T:System.Windows.Size,,,,,RenderSize
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,54,124,P:System.Windows.UIElement.RenderSize,,,,,RenderSize
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,54,124,P:System.Windows.Size.Height,,,,,RenderSize.Height
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,54,67,P:System.Windows.Shapes.Shape.StrokeThickness,,,,,StrokeThickness
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,54,48,T:System.Windows.Size,,,,,RenderSize
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,54,48,P:System.Windows.UIElement.RenderSize,,,,,RenderSize
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,54,48,P:System.Windows.Size.Width,,,,,RenderSize.Width
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,54,43,T:System.Windows.Point,,,,,"new((RenderSize.Width - StrokeThickness) / 2 * (1 + Cos(angle * Consts.ToRad)), (RenderSize.Height - StrokeThickness) / 2 * (1 - Sin(angle * Consts.ToRad)))"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,54,43,"M:System.Windows.Point.#ctor(System.Double,System.Double)",,,,,"new((RenderSize.Width - StrokeThickness) / 2 * (1 + Cos(angle * Consts.ToRad)), (RenderSize.Height - StrokeThickness) / 2 * (1 - Sin(angle * Consts.ToRad)))"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,32,4,T:System.Windows.Media.Geometry,,,,,private Geometry GetArcGeometry()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,50,8,T:System.Windows.Media.TranslateTransform,,,,,"geometry.Transform = new TranslateTransform(stroke_th / 2, stroke_th / 2);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,50,8,"M:System.Windows.Media.TranslateTransform.#ctor(System.Double,System.Double)",,,,,"geometry.Transform = new TranslateTransform(stroke_th / 2, stroke_th / 2);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,50,8,T:System.Windows.Media.Transform,,,,,"geometry.Transform = new TranslateTransform(stroke_th / 2, stroke_th / 2);"
